event_key,country_id,country_name,event_year,first_positive_origin,last_positive_origin,overlapping_positive_labels,matured_positive_labels,origin_spell_start_status,positive_window_left_truncated,regime_before,regime_event_year,polyarchy_before,polyarchy_event_year,polyarchy_change_at_event,first_recovery_year,years_to_recovery,temporary_exit_within_3y,event_at_data_boundary,country_has_repeated_breakdowns
BGD-1996,BGD,Bangladesh,1996,1995,1995,1,1,observed,True,2.0,1.0,0.511,0.5,-0.01100000000000001,1997.0,1.0,True,False,True
NER-1996,NER,Niger,1996,1995,1995,1,1,observed,True,2.0,1.0,0.541,0.291,-0.25000000000000006,2000.0,4.0,False,False,True
UKR-1998,UKR,Ukraine,1998,1995,1997,3,3,observed,False,2.0,1.0,0.53,0.45,-0.08000000000000002,2006.0,8.0,False,False,True
MKD-1999,MKD,North Macedonia,1999,1998,1998,1,1,observed,True,2.0,1.0,0.507,0.566,0.05899999999999994,2002.0,3.0,True,False,True
FJI-2000,FJI,Fiji,2000,1997,1999,3,3,observed,False,2.0,0.0,0.551,0.346,-0.20500000000000007,2003.0,3.0,True,False,True
LKA-2000,LKA,Sri Lanka,2000,1997,1999,3,3,observed,False,2.0,1.0,0.532,0.493,-0.039000000000000035,2002.0,2.0,True,False,True
MWI-2000,MWI,Malawi,2000,1997,1999,3,3,observed,False,2.0,1.0,0.507,0.475,-0.03200000000000003,2010.0,10.0,False,False,True
SLB-2000,SLB,Solomon Islands,2000,1997,1999,3,3,observed,False,2.0,1.0,0.503,0.353,-0.15000000000000002,2002.0,2.0,True,False,True
MDG-2001,MDG,Madagascar,2001,1998,2000,3,3,observed,False,2.0,1.0,0.503,0.498,-0.0050000000000000044,2020.0,19.0,False,False,True
BGD-2002,BGD,Bangladesh,2002,1999,2001,3,3,observed,False,2.0,1.0,0.504,0.463,-0.04099999999999998,,,False,False,True
MDA-2002,MDA,Moldova,2002,1999,2001,3,3,observed,False,2.0,1.0,0.505,0.499,-0.006000000000000005,2004.0,2.0,True,False,True
VEN-2002,VEN,Venezuela,2002,1999,2001,3,3,observed,False,2.0,1.0,0.532,0.499,-0.03300000000000003,,,False,False,False
PHL-2004,PHL,Philippines,2004,2001,2003,3,3,observed,False,2.0,1.0,0.534,0.493,-0.041000000000000036,2010.0,6.0,False,False,True
LKA-2005,LKA,Sri Lanka,2005,2002,2004,3,3,observed,False,2.0,1.0,0.517,0.432,-0.08500000000000002,2015.0,10.0,False,False,True
MDA-2005,MDA,Moldova,2005,2004,2004,1,1,observed,True,2.0,1.0,0.503,0.444,-0.059,2010.0,5.0,False,False,True
FJI-2006,FJI,Fiji,2006,2003,2005,3,3,observed,False,2.0,1.0,0.538,0.397,-0.14100000000000001,2023.0,17.0,False,False,True
